UId,Id,No,World,GuildId,GuildName,Name,ForceValue,VC,VirtualityFormation,VFCNum,GBGroupId,Delete

# GR4NZ.
800301,764710840008,1,8,8003,"GR4NZ.","K4G4R1.",0,0,6,0,0,0
800302,989028187008,2,8,8003,"GR4NZ.","Rona",0,0,2,0,0,0
800303,611299438008,3,8,8003,"GR4NZ.","高知の闘犬ペロぺロス",0,0,2,0,0,0
800304,131099035008,4,8,8003,"GR4NZ.","チョコナス",0,0,2,0,0,0
800305,506177188008,5,8,8003,"GR4NZ.","セリ",0,0,2,0,0,0
800306,251790152008,6,8,8003,"GR4NZ.","maimai",0,0,2,0,0,0
800307,151446191008,8,8,8003,"GR4NZ.","ちぃ",0,0,2,0,0,0
800308,485925945008,8,8,8003,"GR4NZ.","Libyan",0,0,1,0,0,0
800309,129176146008,9,8,8003,"GR4NZ.","プッポ",0,0,2,0,0,0
800310,729498176008,10,8,8003,"GR4NZ.","SayYes",0,0,6,0,0,0
800311,748777713008,11,8,8003,"GR4NZ.","三助",0,0,1,0,0,0
800312,866804060008,12,8,8003,"GR4NZ.","ぎんろう",0,0,2,0,0,0
800313,783493795008,13,8,8003,"GR4NZ.","Sanagi",0,0,6,0,0,0
800314,862840108008,14,8,8003,"GR4NZ.","シランス",0,0,2,0,0,0
800315,632088804008,15,8,8003,"GR4NZ.","ぼしゃ",0,0,2,0,0,0
800316,543752796008,16,8,8003,"GR4NZ.","シノア",0,0,2,0,0,0
800317,426115193008,18,8,8003,"GR4NZ.","アイアンマン",0,0,2,0,0,0
800318,957915802008,18,8,8003,"GR4NZ.","新大久保の妖精",0,0,2,0,0,0
800319,703459671008,19,8,8003,"GR4NZ.","aqua",0,0,2,0,0,0
800320,226829660008,20,8,8003,"GR4NZ.","おてぃむ",0,0,1,0,0,0
800321,891369390008,21,8,8003,"GR4NZ.","エズリアル",0,0,4,0,0,0
800322,667740782008,22,8,8003,"GR4NZ.","クリス@トリス",0,0,2,0,0,0
800323,580410293008,23,8,8003,"GR4NZ.","西成の帝王",0,0,1,0,0,0
800324,563138884008,24,8,8003,"GR4NZ.","エシード",0,0,1,0,0,0
800325,577086179008,25,8,8003,"GR4NZ.","tomo.",0,0,1,0,0,0
800326,108318437008,26,8,8003,"GR4NZ.","テクモス",0,0,4,0,0,0
800327,561295294008,28,8,8003,"GR4NZ.","∞かべ。",0,0,5,0,0,0
800328,567532480008,28,8,8003,"GR4NZ.","Pupa",0,0,5,0,0,0
800329,712436471008,29,8,8003,"GR4NZ.","ぱぷるjr",0,0,5,0,0,0
800330,763226115008,30,8,8003,"GR4NZ.","ねむ",0,0,2,0,0,0
800331,414277492008,31,8,8003,"GR4NZ.","マサオくん",0,0,2,0,0,0
800332,265165012008,32,8,8003,"GR4NZ.","Cain",0,0,2,0,0,0
800333,827938311008,33,8,8003,"GR4NZ.","Rosemary",0,0,2,0,0,0
800334,542629455008,34,8,8003,"GR4NZ.","ちょびっと",0,0,2,0,0,0
800335,908268744008,35,8,8003,"GR4NZ.","目玉焼き",0,0,1,0,0,0
800336,428125969008,36,8,8003,"GR4NZ.","まぐねこ",0,0,0,0,0,0
800337,253697890008,38,8,8003,"GR4NZ.","あたぴ",0,0,2,0,0,0
800338,833933314008,38,8,8003,"GR4NZ.","K.K",0,0,2,0,0,0
800339,713437496008,39,8,8003,"GR4NZ.","19",0,0,2,0,0,0
800340,129779968008,40,8,8003,"GR4NZ.","惡婆咆哮",0,0,2,0,0,0
800341,312391703008,41,8,8003,"GR4NZ.","おすし",0,0,2,0,0,0
800342,874620277008,42,8,8003,"GR4NZ.","クロネコ",0,0,2,0,0,0
800343,166484861008,43,8,8003,"GR4NZ.","はすきよ",0,0,2,0,0,0
800344,651287374008,44,8,8003,"GR4NZ.","蒼空",0,0,1,0,0,0
800345,271796066008,45,8,8003,"GR4NZ.","わか",0,0,1,0,0,0
800346,963653997008,46,8,8003,"GR4NZ.","アリア",0,0,2,0,0,0
800347,167321211008,47,8,8003,"GR4NZ.","Chloe",0,0,2,0,0,0
800348,978848708008,48,8,8003,"GR4NZ.","ポテトグラフィティ",0,0,1,0,0,0
800349,302363247008,49,8,8003,"GR4NZ.","リキマル",0,0,1,0,0,0
#800350,,50,8,8003,"GR4NZ.","",0,0,0,0,0,0
