UId,Id,No,World,GuildId,GuildName,Name,ForceValue,VC,VirtualityFormation,VFCNum,GBGroupId,Delete

# 喫茶リコリコ
900101,517530878009,1,9,9001,"喫茶リコリコ","お粥",0,0,6,0,0,0
900102,542889229009,2,9,9001,"喫茶リコリコ","ゆきち",0,0,2,0,0,0
900103,301376490009,3,9,9001,"喫茶リコリコ","shinal",0,0,2,0,0,0
900104,785187377009,4,9,9001,"喫茶リコリコ","八雲",0,0,1,0,0,0
900105,303521775009,5,9,9001,"喫茶リコリコ","rylen",0,0,4,0,0,0
900106,894022761009,6,9,9001,"喫茶リコリコ","カイリ",0,0,6,0,0,0
900107,659786993009,8,9,9001,"喫茶リコリコ","しょく",0,0,2,0,0,0
900108,687556840009,8,9,9001,"喫茶リコリコ","ガッツ",0,0,6,0,0,0
900109,383523467009,9,9,9001,"喫茶リコリコ","レロ子",0,0,2,0,0,0
900110,996375978009,10,9,9001,"喫茶リコリコ","な",0,0,2,0,0,0
900111,679940225009,11,9,9001,"喫茶リコリコ","Arin",0,0,2,0,0,0
900112,391544451009,12,9,9001,"喫茶リコリコ","ほむほむ",0,0,2,0,0,0
900113,650634243009,13,9,9001,"喫茶リコリコ","そき",0,0,2,0,0,0
900114,107133877009,14,9,9001,"喫茶リコリコ","おもち",0,0,1,0,0,0
900115,738960218009,15,9,9001,"喫茶リコリコ","たけωノこ",0,0,2,0,0,0
900116,499469962009,16,9,9001,"喫茶リコリコ","楓山",0,0,2,0,0,0
900117,484163236009,18,9,9001,"喫茶リコリコ","Fate",0,0,1,0,0,0
900118,674828691009,18,9,9001,"喫茶リコリコ","かに",0,0,4,0,0,0
900119,198229227009,19,9,9001,"喫茶リコリコ","Manami",0,0,2,0,0,0
900120,289648805009,20,9,9001,"喫茶リコリコ","Greysis",0,0,2,0,0,0
900121,160424470009,21,9,9001,"喫茶リコリコ","通りすがりのもの",0,0,2,0,0,0
900122,757095366009,22,9,9001,"喫茶リコリコ","ふるけん",0,0,2,0,0,0
900123,376630365009,23,9,9001,"喫茶リコリコ","かもしか",0,0,1,0,0,0
900124,442228511009,24,9,9001,"喫茶リコリコ","よみの",0,0,1,0,0,0
900125,349430394009,25,9,9001,"喫茶リコリコ","ユートレマ",0,0,2,0,0,0
900126,262780032009,26,9,9001,"喫茶リコリコ","ドスにゃんこ",0,0,2,0,0,0
900127,247431760009,28,9,9001,"喫茶リコリコ","ClariS",0,0,2,0,0,0
900128,988887939009,28,9,9001,"喫茶リコリコ","しろうさぎ",0,0,1,0,0,0
900129,889187327009,29,9,9001,"喫茶リコリコ","レグ",0,0,2,0,0,0
900130,128795777009,30,9,9001,"喫茶リコリコ","Roy",0,0,2,0,0,0
900131,407002473009,31,9,9001,"喫茶リコリコ","UTA3",0,0,2,0,0,0
900132,701249934009,32,9,9001,"喫茶リコリコ","yuu.",0,0,1,0,0,0
900133,935628026009,33,9,9001,"喫茶リコリコ","アテナイン",0,0,1,0,0,0
900134,301125312009,34,9,9001,"喫茶リコリコ","ほへー",0,0,4,0,0,0
900135,700410409009,35,9,9001,"喫茶リコリコ","汀れんげ",0,0,1,0,0,0
900136,111047860009,36,9,9001,"喫茶リコリコ","Holly",0,0,4,0,0,0
900137,664672741009,38,9,9001,"喫茶リコリコ","レン",0,0,1,0,0,0
900138,894403158009,38,9,9001,"喫茶リコリコ","やすちん",0,0,1,0,0,0
900139,228656645009,39,9,9001,"喫茶リコリコ","ぽよ",0,0,4,0,0,0
900140,766252394009,40,9,9001,"喫茶リコリコ","若草なずな",0,0,4,0,0,0
900141,828978922009,41,9,9001,"喫茶リコリコ","ローゼマイン",0,0,4,0,0,0
900142,422093280009,42,9,9001,"喫茶リコリコ","Preciado",0,0,4,0,0,0
900143,681538575009,43,9,9001,"喫茶リコリコ","ぽてと",0,0,6,0,0,0
900144,672233530009,44,9,9001,"喫茶リコリコ","かぐら",0,0,4,0,0,0
900145,812034171009,45,9,9001,"喫茶リコリコ","ysk",0,0,4,0,0,0
900146,566376875009,46,9,9001,"喫茶リコリコ","すらぃりー",0,0,4,0,0,0
900147,847963063009,47,9,9001,"喫茶リコリコ","うまる",0,0,4,0,0,0
900148,459313723009,48,9,9001,"喫茶リコリコ","MT23",0,0,6,0,0,0
900149,171547943009,49,9,9001,"喫茶リコリコ","きらりん",0,0,6,0,0,0
900150,995224995009,50,9,9001,"喫茶リコリコ","レッド",0,0,4,0,0,0
