Id,PlayerId,SortNo,Name,SubParty,Debuff,Description,GVS
#2023/11/15時点実装キャラ65キャラ = 5人編成13

# はいせ軍(仮)
# はいせ(64)
10001,231333719007,1,"異次元冥",0,0,"主力1",1
10002,231333719007,2,"回避",0,0,"主力2",1
10003,231333719007,3,"ルサルカ",0,0,"主力3",1
10004,231333719007,4,"コルディ",0,0,"主力4",1
10005,231333719007,5,"サブパ1",1,0,"サブパ1",1
10006,231333719007,6,"サブパ2",1,0,"サブパ2",1
10007,231333719007,7,"サブパ3",1,0,"サブパ3",1
10008,231333719007,8,"サブパ4",1,0,"サブパ4",1
10009,231333719007,9,"サブパ5",1,0,"サブパ5",1
10010,231333719007,10,"デバフ1",0,1,"デバフ1",1
10011,231333719007,11,"デバフ2",0,1,"デバフ2",1
10012,231333719007,12,"デバフ3",0,1,"デバフ3",1
10013,231333719007,13,"デバフ4",0,1,"デバフ4",1
10014,231333719007,14,"デバフ4",0,1,"デバフ5",1

# あいか(48)
10101,807726881007,1,"コルディ",0,0,"主力1",1
10102,807726881007,2,"フローレンス",0,0,"主力2",1
10103,807726881007,3,"デバフ1",0,1,"デバフ1",1
10104,807726881007,4,"デバフ2",0,1,"デバフ2",1
10105,807726881007,5,"デバフ3",0,1,"デバフ3",1
10106,807726881007,6,"デバフ4",0,1,"デバフ4",1
10107,807726881007,7,"デバフ5",0,1,"デバフ5",1
10108,807726881007,8,"デバフ6",0,1,"デバフ6",1
10109,807726881007,9,"デバフ7",0,1,"デバフ7",1
10110,807726881007,10,"デバフ8",0,1,"デバフ8",1

# テスラ(51)
10201,820627048007,1,"ルサルカ",0,0,"主力1",1
10202,820627048007,2,"フローレンス",0,0,"主力2",1
10203,820627048007,3,"コルディ",0,0,"主力3",1
10204,820627048007,4,"サブパ1",1,0,"サブパ1",1

# まんまる*Hz(56)
10301,507200060007,1,"全部",0,0,"主力1",1
10302,507200060007,2,"サブパ1",1,0,"サブパ1",1
10303,507200060007,3,"サブパ2",1,0,"サブパ2",1
10304,507200060007,4,"サブパ3",1,0,"サブパ3",1
10305,507200060007,5,"デバフ1",0,1,"デバフ1",1
10306,507200060007,6,"デバフ2",0,1,"デバフ2",1
10307,507200060007,7,"デバフ3",0,1,"デバフ3",1
10308,507200060007,8,"デバフ4",0,1,"デバフ4",1
10309,507200060007,9,"デバフ5",0,1,"デバフ5",1
10310,507200060007,10,"デバフ6",0,1,"デバフ6",1
10311,507200060007,11,"デバフ7",0,1,"デバフ7",1

# ハリー(64)
10401,300309709007,1,"両軸",0,0,"主力1",1
10402,300309709007,2,"回避",0,0,"主力2",1
10403,300309709007,3,"サブパ1",1,0,"サブパ1",1
10404,300309709007,4,"サブパ2",1,0,"サブパ2",1
10405,300309709007,5,"サブパ3",1,0,"サブパ3",1

# Entangle(66)
10501,256575537007,1,"コルディ",0,0,"主力1",1
10502,256575537007,2,"フローレンス",0,0,"主力2",1
10503,256575537007,3,"回避",0,0,"主力3",1
10504,256575537007,4,"サブパ1",1,0,"サブパ1",1
10505,256575537007,5,"サブパ2",1,0,"サブパ2",1
10506,256575537007,6,"サブパ3",1,0,"サブパ3",1
10507,256575537007,7,"デバフ1",0,1,"デバフ1",1
10508,256575537007,8,"デバフ2",0,1,"デバフ2",1
10509,256575537007,9,"デバフ3",0,1,"デバフ3",1
10510,256575537007,10,"デバフ4",0,1,"デバフ4",1
10511,256575537007,11,"デバフ5",0,1,"デバフ5",1
10512,256575537007,12,"デバフ6",0,1,"デバフ6",1
10513,256575537007,13,"デバフ7",0,1,"デバフ7",1
10514,256575537007,14,"デバフ8",0,1,"デバフ8",1
10551,256575537007,15,"バトリ編成1",0,0,"バトリ1",0

# Rovin(58)
