Id,PlayerId,SortNo,Name,SubParty,Debuff,Description,GVS
# S-DAT
# Lucille
90001,819653555007,1,"回避",0,0,"主力1",1
90002,819653555007,2,"フローレンス",0,0,"主力2",1
90003,819653555007,3,"コルディ",0,0,"主力3",1
90004,819653555007,4,"サブパ1",1,0,"サブパ1",1
90005,819653555007,5,"サブパ2",1,0,"サブパ2",1
90006,819653555007,6,"サブパ3",1,0,"サブパ3",1
90007,819653555007,7,"サブパ4",1,0,"サブパ4",1
90008,819653555007,8,"サブパ5",1,0,"サブパ5",1

# たまのさん


# 黒波 らむね。
90201,788155589007,1,"コルディ",0,0,"主力1",1

# ジャン
90301,466552790007,1,"フローレンス",0,0,"主力1",1

# ぐらとん
90401,202085701007,1,"ルサルカ(コル)",0,0,"主力1",1
90402,202085701007,2,"フローレンス",0,0,"主力2",1
90403,202085701007,3,"回避",0,0,"主力3",1
90404,202085701007,4,"サブパ1",1,0,"サブパ1",1

# かなめ
90501,315240075007,1,"回避",0,0,"主力1",1
90502,315240075007,2,"コルディ",0,0,"主力2",1
90503,315240075007,3,"エルフ",0,0,"主力3",1
90504,315240075007,4,"サブパ1",1,0,"サブパ1",1
90505,315240075007,5,"サブパ2",1,0,"サブパ2",1

# めぐるん
90601,563177507007,1,"両軸",0,0,"主力1",1

# Rest
90701,605817895007,1,"両軸",0,0,"主力1",1

# pomu*
90801,606516448007,1,"両軸",0,0,"主力1",1

# ハーシャル
90901,380477338007,1,"フローレンス",0,0,"主力1",1
90902,380477338007,2,"アムレート",0,0,"主力2",1
90903,380477338007,3,"コルディ",0,0,"主力3",1
90904,380477338007,4,"回避",0,0,"主力4",1

# おゆ


# キヌ
91101,305883539007,1,"両軸",0,0,"主力1",1

# じょーじ
91201,582126604007,1,"両軸",0,0,"主力1",1

# ぼちゃ


# グエン
91401,568243884007,1,"両軸",0,0,"主力1",1

# くろじゅーら
91501,890106121007,1,"コルディ",0,0,"主力1",1
91502,890106121007,2,"フローレンス",0,0,"主力2",1

# うづき
91601,170003885007,1,"両軸",0,0,"主力1",1

# トア
91701,538447363007,1,"両軸",0,0,"主力1",1

# 乙女千代子
91801,965053410007,1,"フローレンス",0,0,"主力1",1
91802,965053410007,2,"コルディ",0,0,"主力2",1

# セッコ
91901,699642914007,1,"両軸",0,0,"主力1",1
